sentence_id	n	not	v	v2	n_first_index	n_last_index	not_first_index	not_last_index	v_first_index	v_last_index	v2_first_index	v2_last_index	sentence_text
11872977	omnipresence	not	bear	ca	11	11	5	5	6	6	4	4	But when Edith too ca not bear her son ' s omnipresence anymore , they decide to join their forces making Tanguy ' s life a living hell .
12095430	defense	not	bear	can	16	16	11	11	12	12	10	10	Because we have no doubt that the Controlled Substances Act can not bear a medical necessity defense to distributions of marijuana , we do not find guidance in this avoidance principle .
12220638	fruit	not	bear	can	13	13	11	11	12	12	10	10	But since God does not influence the karma , it can not bear fruit and hence soul does not bear its consequences .
12276485	existence	not	bear	can	29	29	27	27	28	28	26	26	But Taleniekov denies all offers of running away and tells Scofield to run away with Antonia while he will take care of the rest as he can not bear existence in a form where he can not talk or move freely .
12586486	checker	not	bear	can	11	11	7	7	8	8	6	6	If you roll an acey-deucey but can not bear off a checker from both the 1-point and the 2-point , you are not entitled to a roll for doubles or another turn .
13815999	sight	not	bear	can	20	20	17	17	18	18	16	16	In `` Reflux , '' an unnamed king has such a fear of death that he can not bear the sight of a funeral procession , grave stones , or black mourning clothes .
14172226	fact	not	bear	can	9	9	6	6	7	7	5	5	In Series Three , Hyacinth can not bear the fact her neighbours get a celebrity to attend their barbecue , and she sets out to do the same at her function .
14406943	vision	not	bear	can	41	41	38	38	39	39	37	37	In one scene , Tae-ju is tormented by Kang-woo appearing directly above her and making a repeated stabbing motion with sewing scissors , each time stopping the sharp tips just short of her lips , until she can not bear the vision anymore and hides under a bed sheet - only to have Kang-woo reappear under the sheets .
15107233	grain	not	bear	can	41	41	39	39	40	40	38	38	In the spring the dark-coloured female lays about 250 to 300 reddish eggs on plants , usually where the stems are covered by leaves ; the larvae feed on the sap and weaken the plants so that they can not bear grain .
16032129	noise	not	bear	can	12	12	10	10	11	11	9	9	A rich , retired admiral , Sir Morosus , can not bear noise of any kind , particularly his garrulous housekeeper , so his barber suggests she should be replaced by a quiet young wife .
16737936	sight	not	bear	can	10	10	7	7	8	8	6	6	It is so evil that it can not bear the sight of its own reflection .
16747949	logo	not	bear	can	25	25	20	20	21	21	19	19	It is placed on components which are intended to be part of a UL listed product , but which can not bear the full UL logo themselves .
17075797	idea	not	bear	ca	5	5	2	2	3	3	1	1	I ca not bear the idea that somebody else would get to wear my Paris Hilton wig , but you never know .
17084543	humiliation	not	bear	can	5	5	2	2	3	3	1	1	I can not bear the humiliation of the subject that is pride of 130 crores Indianns and who inspires world122 .
17084544	thought	not	bear	can	5	5	2	2	3	3	1	1	I can not bear the thought of your hair turning grey waiting for a worthless man who whether dead or for shame has not dared shown his face again .
17084545	thought	not	bear	can	5	5	2	2	3	3	1	1	I can not bear the thought that an electron exposed to a ray should by its own free decision choose the moment and the direction in which it wants to jump away .
17151421	attitude	not	bear	can	42	42	39	39	40	40	38	38	I do not care about my arguments , I do not care about his arguments , and I do not care about anything else that you , me , him , or Joe Bloggs thinks , I just can not bear this attitude .
17673177	burden	not	bear	can	9	9	6	6	7	7	5	5	I am quite discouraged and can not bear this burden any longer .
18547957	fruit	not	bear	can	6	6	4	4	5	5	3	3	As the branch can not bear fruit of itself , except it abide in the vine ; no more can ye , except ye abide in me .
18682040	possibility	not	bear	can	18	18	15	15	16	16	14	14	As the story closes the father is boarding up the post office as they can not bear the possibility of another letter and any further reminder of how much they have lost .
19015475	fruit	not	bear	can	7	7	4	4	5	5	3	3	A sound tree can not bear evil fruit , nor can a bad tree bear good fruit .
19881357	sight	not	bear	can	32	32	29	29	30	30	28	28	In Jorge Luis Borges ' Book of Imaginary Beings , Bahamut is `` altered and magnified '' from Behemoth , and described as so immense that a human can not bear its sight ; `` -LSB- all -RSB- the seas of the world , placed in one of the fish ' s nostrils , would be like a mustard seed laid in the desert .
20295422	thought	not	bear	can	15	15	12	12	13	13	11	11	Due to the death of a friend , Nutso , Shep can not bear the thought of playing again .
21466742	weight	not	bear	ca	11	11	5	5	6	6	4	4	Gargamel ' s opponent ca not bear the pillow ' s weight and falls .
23349854	fact	not	bear	ca	5	5	2	2	3	3	1	1	Bhoja ca not bear the fact that his aptamitra -LRB- intimate friend -RRB- Kalidasa is in the company of a prostitute .
23805123	thought	not	bear	ca	21	21	18	18	19	19	17	17	Ever since , Solok has always gloated about Vulcan superiority in all things , and now Sisko ca not bear the thought of Solok beating him at his own game .
24373203	thought	not	bear	can	5	5	2	2	3	3	1	1	Erminia can not bear the thought of this , and so the two escape together on a horse provided by Yurias .
24451243	life	not	bear	can	12	12	10	10	11	11	9	9	Emily is madly in love , however , and can not bear life without him .
24504996	reality	not	bear	can	11	11	7	7	8	8	6	6	Eliot ' s dictum that humankind can not bear very much reality .
25963377	situation	not	bear	can	5	5	2	2	3	3	1	1	Camila can not bear her situation with Manuel so she leaves him and reunites with her brother Faber and her niece , Camila is helped by Patricio ' s friend Esther Pimiento , a family lawyer , who starts the divorce not only for Camila , but for Barbara and Paulina .
26350294	sight	not	bear	can	18	18	15	15	16	16	14	14	Chubak depicts a very brutal world in which people are extremely mortified and they can not bear the sight of each other .
27274493	thought	not	bear	can	5	5	2	2	3	3	1	1	He can not bear the thought of living without Byomkesh , so much that when in Amriter Mrityu Byomkesh enters a house that is the site of a life claiming bomb-explosion just a few minutes ago , Ajit follows him into it even though Byomkesh instructed him to stay outside , thinking that if death is lurking inside , they might as well die together .
27274494	thought	not	bear	can	5	5	2	2	3	3	1	1	He can not bear the thought that her will is stronger than his and writes her a letter intended to make her fall in love with him again , even though he has no intention of requiting this love .
27287284	weight	not	bear	ca	5	5	2	2	3	3	1	1	He ca not bear the weight of a serious relationship whereas Ada is deeply in love and unable to sense anything unusual .
27295566	responsibility	not	bear	can	17	17	14	14	15	15	13	13	He challenged Charles de Guise to a duel because he thought de Guise can not bear the responsibility of protecting Erika and ended up killing de Guise .
27545147	diet	not	bear	can	8	8	5	5	6	6	4	4	However , the child can not bear this diet for more than one season .
27621275	seal	not	bear	can	17	17	13	13	14	14	12	12	However , quartz or solar movement clocks made by these same manufacturers can not bear the VDS seal even though their mechanical movement models do display the seal .
29408298	fact	not	bear	ca	13	13	10	10	11	11	9	9	He is actually in love with her , and ca not bear the fact that she , on the other hand , is in love with the Prince .
30112959	thought	not	bear	ca	9	9	6	6	7	7	5	5	Frank ' s son and ca not bear the thought of going through this cycle again .
30707722	thought	not	bear	can	8	8	5	5	6	6	4	4	For the moment I can not bear the thought of London .
32247365	sadness	not	bear	can	14	14	11	11	12	12	10	10	Juno then follows Jenny ' s sister and because she can not bear his sadness , she tells him that Jenny was in the mansion .
33223429	thought	not	bear	can	7	7	4	4	5	5	3	3	Jaya and Vijaya can not bear the thought of staying away from Vishnu for seven lives .
34198353	weight	not	bear	can	11	11	8	8	9	9	7	7	It is a fragile thread ; it can not bear the weight of facts and dates .
34277054	cost	not	bear	can	11	11	8	8	9	9	7	7	It is also designed for applications that can not bear the cost of a GPS receiver at each node , or for which GPS signals are inaccessible .
34980337	thought	not	bear	ca	18	18	15	15	16	16	14	14	Louise -LRB- Myles -RRB- is stuck in a run-down girls ' boarding school and ca not bear the thought of being away from her lover , art teacher Matthew , during the half term break .
35290287	cross	not	bear	can	10	10	7	7	8	8	6	6	Kempis writes that by ourselves we can not bear the cross , but if we put the trust in the Lord , He will send the strength from heaven .
35532973	thought	not	bear	ca	12	12	9	9	10	10	8	8	Lorelai does not have the money , but ca not bear the thought of disappointing her daughter .
35805715	compression	not	bear	can	10	10	4	4	5	5	3	3	Liquids and gases can not bear steady uniaxial or biaxial compression , they will deform promptly and permanently and will not offer any permanent reaction force .
36489687	thought	not	bear	can	24	24	28	28	29	29	27	27	His being alive and well would mean that her father had willingly chosen to abandon her as a child , and that is a thought which she can not bear .
37493140	fruit	not	bear	can	20	20	18	18	19	19	17	17	Kyoko Mizuki in the essays found on Misaki ' s website , `` the great love that can not bear fruit '' -RRB- .
37545268	absence	not	bear	ca	7	7	2	2	3	3	1	1	Lateef ca not bear Rahmat ' s absence , and decides to locate Soltan to get some news of her .
37762903	possibility	not	bear	ca	14	14	11	11	12	12	10	10	Krusty has been described as `` the consummate showman who ca not bear the possibility of not being on the air and not entertaining people .
37934011	shock	not	bear	can	15	15	12	12	13	13	11	11	Karan delivers this bad news to Hussein mother , and she can not bear the shock and dies of misery .
39152088	tension	not	bear	ca	35	35	32	32	33	33	31	31	It ' s a definite favourite of mine , and that ' s coming from someone who ' s been trying to continue Les Mis for the last 5 years but ca not bear the tension of the story , so it must be okay !
41324176	burden	not	bear	can	11	11	8	8	9	9	7	7	Mulvey argues that `` the male figure can not bear the burden of sexual objectification .
41510269	loss	not	bear	can	5	5	2	2	3	3	1	1	Mother can not bear the loss of all of her children and not having even her daughter close to her at an old age , her mourning too heavy to bear .
41825026	thought	not	bear	can	5	5	2	2	3	3	1	1	Michel can not bear the thought of her leaving and tells his father that he would tell him where the stolen crosses are , but in return he should not give Paulette to the police looking for her .
43707413	weight	not	bear	can	19	19	16	16	17	17	15	15	So exquisite and lively meanwhile is the feeling of the part affected , that it can not bear the weight of the bedclothes nor the jar of a person walking in the room .
43707413	jar	not	bear	can	25	25	16	16	17	17	15	15	So exquisite and lively meanwhile is the feeling of the part affected , that it can not bear the weight of the bedclothes nor the jar of a person walking in the room .
43817883	name	not	bear	can	7	7	4	4	5	5	3	3	Since federal buildings can not bear the name of a living person , Congress approved special legislation allowing for an exemption in the case of Wahlen .
44100472	sight	not	bear	can	9	9	6	6	7	7	5	5	Siddhu , returning home , can not bear the sight of himself in the mirror , and breaks it .
44163966	witness	not	bear	can	14	14	11	11	12	12	10	10	Slimvirgin , I would love to comply , but I can not bear false witness against myself by striking remarks that I ensured were only scrupulously honest , and there are no others .
44295222	thought	not	bear	can	17	17	14	14	15	15	13	13	Similarly , there are lesbians who like anal sex and others `` who can not bear the thought of it '' .
44322423	thought	not	bear	ca	19	19	16	16	17	17	15	15	Sidney ' s mother thinks only of her own needs , while clinging Mrs Piper ca not bear the thought that her son will one day leave her , and does her best to break up Sidney and Peter ' s relationship .
44372578	confinement	not	bear	can	5	5	2	2	3	3	1	1	Simon can not bear this confinement and begs Jiriki to let him leave , but the Sithi prince can not go against a Word of Command from his parents .
45846160	relevance	not	bear	can	5	5	3	3	4	4	2	2	Personal opinion can not bear relevance to fact .
48153002	smell	not	bear	can	22	22	19	19	20	20	18	18	People believe that if one bathes in Bahula Pokhari one will become insane , whereas the Ghost Lake can not bear the smell of human perspiration and will pull one inside its murky waters to a certain death if you as much as venture near it .
48796506	heir	not	bear	can	44	44	41	41	42	42	40	40	Ottokar is at the height of his powers , having recently defeated the Hungarians at the Battle of Kressenbrunn , and the play opens with news that Ottokar is divorcing from his wife Margarete , on the grounds that she can not bear an heir , and that they are in any case distantly related .
49401955	state	not	bear	can	9	9	5	5	6	6	4	4	Occasionally women , who can not bear the pregnant state , make importunate demands for early delivery .
49440220	cover	not	bear	ca	6	6	3	3	4	4	2	2	Now I ca not bear the cover .
51404074	child	not	bear	can	9	9	6	6	7	7	5	5	Nancy found out that she can not bear a child so she and James adopted a child and named her Natalie .
52153466	sight	not	bear	can	34	34	27	27	29	29	26	26	On the other hand , it is very common for people to have an aversion to a particular food or ingredient to the extent that they can not even bear the smell or the sight of it .
52153466	smell	not	bear	can	31	31	27	27	29	29	26	26	On the other hand , it is very common for people to have an aversion to a particular food or ingredient to the extent that they can not even bear the smell or the sight of it .
52983346	undiffference	not	borne	can	23	23	20	20	22	22	19	19	Royal Arms , or Arms of Dominion , are inseparable from the office and rank of royalty , and can not be borne undiffference by any person except the Sovereign .
53015896	level	not	bear	can	30	30	26	26	27	27	25	25	Russavia were all harassed , while many Lithuanian related editors already left Wikipedia , I would not be surprised that they left WIki because they can not bear such harassment level -LRB- personally I limited my editing to extreme minimum , for this reason -RRB- .
53112669	child	not	bear	can	7	7	4	4	5	5	3	3	Seeing how Abginey can not bear a child , Bee Jan decides to marry her elder son off to a younger , prettier girl .
53429336	idea	not	bear	can	5	5	2	2	3	3	1	1	Sam can not bear the idea , but when Mary volunteers , he gives in and does it himself .
53624470	idea	not	bear	ca	5	5	2	2	3	3	1	1	Runkel ca not bear the idea of his wife having more success than himself .
53830680	thought	not	bear	can	18	18	15	15	16	16	14	14	She asks him to carry out his duty and rule Ayodhya , but he can not bear the thought of sitting on the throne with his father dead and his brothers in exile in the forest .
53938837	sunlight	not	bear	can	11	11	9	9	10	10	8	8	She suffers from a collagen disease and thus can not bear sunlight .
54159827	shame	not	bear	can	26	26	20	20	21	21	19	19	She had financial security , but lost out on romance , as her love interest , Karl Sum , can not bear the pressure and relative shame of living with someone who is much more popular .
54190163	grief	not	bear	can	16	16	11	11	12	12	10	10	She explains because of Fred ' s past memories she can not bear to witness their grief in addition to Wesley ' s , which she experiences as a physical pain .
54602821	thought	not	bear	can	5	5	2	2	3	3	1	1	She can not bear the thought of having to give in to her bloodthirst and that she , since she is already dead , could never see her mother and sister again .
54602822	thought	not	bear	can	5	5	2	2	3	3	1	1	She can not bear the thought of him leaving and asks him for a kiss , which turns into a passionate embrace , just in time for the king to interrupt .
54602823	thought	not	bear	can	5	5	2	2	3	3	1	1	She can not bear the thought of returning .
54602824	thought	not	bear	can	5	5	2	2	3	3	1	1	She can not bear the thought , she says , of him being laid to rest anywhere but next to her mother and , although she loves him , she is ashamed of him .
54603446	thought	not	bear	ca	5	5	2	2	3	3	1	1	She ca not bear the thought of leaving her two new best friends so she invites them to come along with her .
55179116	idea	not	bear	can	14	14	11	11	12	12	10	10	The Singaporean Chinese -RSB- have never known Malay rule and can not bear the idea that the people they have so long kept under their heels should now be in a position to rule them .
56553254	agony	not	bear	can	22	22	19	19	20	20	18	18	So please forgive me , all those I love and may God forgive me too , but I can not bear the agony and it -LSB- is -RSB- best for everyone this way .
57018628	situation	not	bear	can	9	9	6	6	7	7	5	5	Sookhee leaves Hyunkyu because she can not bear the situation anymore .
60625081	thought	not	bear	can	5	5	2	2	3	3	1	1	Ted can not bear the thought of submitting his child to such an ordeal and decides not to contest custody .
60757707	tragedy	not	bear	can	16	16	13	13	14	14	12	12	Strauss observed , in response to the poor reviews , `` I can not bear the tragedy of the present time .
60912589	situation	not	bear	can	9	9	6	6	7	7	5	5	Susan , completely shattered , can not bear the situation .
60975478	weight	not	bear	can	26	26	23	23	24	24	22	22	Surgical repair , utilizing ORIF is generally required , and because there is no lateral restraint of the foot , the ankle can not bear any weight while the bone knits .
61143433	meaning	not	bear	can	21	21	26	26	27	27	25	25	The courts will not on the basis of any extrinsic materials depart from the clear meaning and give the language a meaning which the language can not bear .
62695985	capacity	not	bear	can	17	17	14	14	15	15	13	13	The roads passing through the city center is often congested , as it can not bear the capacity of a quarter million populated city .
62725919	sight	not	bear	can	14	14	9	9	10	10	8	8	The sage soon discovers that his ugly wife can not bear the sound or sight of any auspicious things and complains to Vishnu or the sage Markendeya -LRB- in some versions -RRB- .
62725919	sound	not	bear	can	12	12	9	9	10	10	8	8	The sage soon discovers that his ugly wife can not bear the sound or sight of any auspicious things and complains to Vishnu or the sage Markendeya -LRB- in some versions -RRB- .
65007207	sight	not	bear	ca	5	5	2	2	3	3	1	1	Tolomeo ca not bear the sight and rushes to defend his wife .
65395197	sight	not	bear	can	11	11	8	8	9	9	7	7	To this , Rumata replies that god can not bear the sight of their suffering .
65795140	hunt	not	bear	can	7	7	2	2	3	3	1	1	They can not bear direct light and hunt only at night .
65795140	light	not	bear	can	5	5	2	2	3	3	1	1	They can not bear direct light and hunt only at night .
65917732	aspect	not	bear	can	10	10	6	6	7	7	5	5	They develop when your mind can not bear a particular aspect of reality .
65951916	distress	not	bear	can	17	17	12	12	13	13	11	11	They may themselves go without food and clothing , but they can not bear their comrades ' distress .
66284424	separation	not	bear	can	35	35	32	32	33	33	31	31	They propose to Titino to go away with him in Italy , since he had long been stalked for the whole of Africa for cheating the British military , but they can not bear the separation from the people who welcomed him and loved for so long .
68291010	child	not	bear	can	25	25	22	22	23	23	21	21	The only thing that Alvin wishes is to meet his father , which Lily could not give until Elsa , who can not bear a child , learns about her problem .
68551040	load	not	bear	can	11	11	7	7	8	8	6	6	The only disadvantage is that they can not bear as much load because of higher stresses .
68827444	coverage	not	bear	can	21	21	18	18	19	19	17	17	The plant is not seriously affected by insects , disease , or grazing , but the shoots can not bear sand coverage .
69072667	name	not	bear	can	21	21	18	18	19	19	17	17	There is no reason an article that describes the more general events related to the person , can not bear the name of that person .
70405291	pain	not	bear	can	22	22	19	19	20	20	18	18	We are familiar with pain , and to some of us , rejection is painful ; our egos can not bear the pain .
73174965	thought	not	bear	ca	5	5	2	2	3	3	1	1	Turnball ca not bear the thought of life without her .
76487160	thought	not	bear	can	28	28	25	25	26	26	24	24	When it appears in the story Tsukune will be expelled , Moka states she would rather drop out and go with him because she can not bear the thought of them being separated .
76861963	shock	not	bear	ca	17	17	14	14	15	15	13	13	When they come to know the truth , Achappa ' s unwell mother ca not bear the shock and she dies .
77608419	fact	not	bear	can	36	36	32	32	33	33	31	31	You have thounsands of completely irrelevant lemmata -LRB- which is not the worst thing on Wikipedia , much worse is the total nonsense purported in popular lemmata -RRB- , but you can not bear this simple fact of life .
77858757	environment	not	bear	can	5	5	2	2	3	3	1	1	Zekai can not bear the environment of the prison and hangs himself while he is in the prison .
