sentence_id	n	v	w	n_first_index	n_last_index	v_first_index	v_last_index	w_first_index	w_last_index	sentence_text
1489982	pattern	like	would	29	29	35	35	34	34	In areas that currently have two-tier government -LRB- Cheshire , County Durham , Cumbria , Lancashire , North Yorkshire , Northumberland -RRB- , voters were to be asked which pattern of unitary government they would like to see .
1501513	motion	like	would	11	11	9	9	8	8	In assessing Dicklyon ' s allegations , I would like this motion and the responses to it by other editors to be reviewed .
1644112	standard	like	would	7	7	5	5	4	4	In addition , businesses would like a standard that can be applied uniformly , rather than having to report many different sets of requirements to the individual states where the companies do business .
1665626	trip	like	would	18	18	21	21	20	20	In addition , there are choice trips , in which campers are given the option to choose which trip they would like to go on -LRB- there are usually 3-4 options -RRB- .
1710777	mediation	like	would	10	10	9	9	7	7	In addition , please confirm that you would still like mediation .
1735103	sister	like	would	12	12	8	8	7	7	In addition , he finds out Jamie would like a brother or sister .
1810588	woman	like	would	27	27	25	25	24	24	In 2007 , however , Kinnaird announced that she was contemplating whether or not to run in the next election , noting that she would like a woman to replace her in the Senate .
1964098	opportunity	like	would	16	16	14	14	13	13	In a 2009 interview , Gabe Sachs and Trey Stokes stated that they would like the opportunity to continue this is a web series .
1965573	reservation	like	would	39	39	37	37	36	36	In a 30 Rock web exclusive titled `` More Donaghy Secrets Uncovered '' , Jack Donaghy ' s assistant , Johnathan , reveals that Tavern on the Green calls him every night to see if he would like a reservation .
2048329	apology	like	would	28	28	26	26	25	25	And I too would welcome a review of the policy , and if the Naming Policy stays as it is and I am right I would like an apology from Mark for blocking me .
2053874	resolution	like	would	7	7	4	4	2	2	And I would also like a bigger resolution .
2053875	explanation	like	would	6	6	4	4	2	2	And I would also like an explanation as to why you took it upon yourself to delete comments I made on another editors page .
2053876	everyone	like	would	5	5	4	4	2	2	And I would also like everyone to focus on using English-language on the English Wikipedia .
2053877	experience	like	would	6	6	4	4	2	2	And I would also like more experience in admin-related areas .
2053878	idea	like	would	6	6	4	4	2	2	And I would also like some idea of time limits , as our meeting has already lasted over an hour .
2054154	m	like	would	20	20	4	4	2	2	And I would just like to say that I was providing an example , this is not what I ' m using it for -RRB- .
2054161	credit	like	would	5	5	3	3	2	2	And I would like a credit for this if my idea is taken up , plus about a million dollars .
2054162	credit	like	would	5	5	3	3	2	2	And I would like a credit on your film .
2054164	apology	like	would	5	5	3	3	2	2	And I would like an apology .
2054165	explanation	like	would	6	6	4	4	3	3	AND , I would like an explanation of what rule , exactly , I violated since returning to editing .
2054166	set	like	would	5	5	3	3	2	2	And I would like another set of eyes to have a look to find anything and everything that needs to be fixed .
2054167	pony	like	would	5	5	3	3	2	2	And I would like a pony .
2054170	input	like	would	5	5	3	3	2	2	And I would like everyones input on it .
2054176	day	like	would	5	5	3	3	2	2	And I would like one day to be an actress who is exhorted not to look like a boiled shrimp .
2054177	protest	like	would	4	4	3	3	2	2	And I would like protest the gross personal attack and lack of good faith demonstrated on the part of NickCT .
2054178	input	like	would	5	5	3	3	2	2	And I would like some input from people I trust before going to the trouble of an RfC .
2054181	policy	like	would	5	5	3	3	2	2	And I would like the policy to be respected .
2054417	someone	like	would	5	5	4	4	2	2	And I would really like someone other than OddNature or any other friend of OM to handle this .
2054418	someone	like	would	5	5	4	4	2	2	And I would really like someone to take some time to see what exactly happened there .
2070746	feedback	like	would	8	8	5	5	4	4	And obviously , I would like any other feedback that you have .
2078937	article	like	would	10	10	7	7	6	6	And in the meantime , I would like my current article to not be deleted until my new article is ready .
2082683	assistance	like	would	5	5	4	4	3	3	And I still would like assistance in dealing with him over at the IC article as that problem still exists .
2091410	article	like	would	15	15	13	13	12	12	And the community , in this case , fairly obviously stated it would like the article deleted .
2111463	quality	like	would	9	9	5	5	4	4	And of course i would like a good image quality .
2173015	advice	like	would	13	13	12	12	11	11	And if it is possible to make those changes , I would like advice on how to prevent people , especially anonymous users , from reverting outright and without explanation the edits others make to the page .
2173156	someone	like	would	11	11	10	10	9	9	And if it ' s the latter , I would like someone to move it back , since that would require an admin .
2174008	explanation	like	would	9	9	6	6	5	5	And if possible , I would like a little explanation as to some of the features I have in it .
2178500	assistance	like	would	7	7	5	5	4	4	And , if you would like any assistance , feel free to contact me .
2181953	explanation	like	would	11	11	9	9	8	8	Anybody who wishes can email me if they would like an explanation .
2194102	advocate	like	would	9	9	7	7	6	6	Anyhow , in short , I would like an advocate to go through my case briefly and see who righteous and who is wrong .
2194249	advice	like	would	6	6	4	4	3	3	Anyhow , I would like some advice on where to go from here , especially regarding the abuse of Wikipedia space as a forum or Usenet group .
2262412	chance	like	would	17	17	15	15	13	13	Anti-Korean page -RRB- will only bring contraversy to that page , I personally would not like the chance of any other article , such as the Anti-Korean page , deleted because of this .
2284162	editor	like	would	13	13	10	10	9	9	And as for the unimportant label comment , I would like the closing editor to research the definition of a major label , then see this .
2291769	reader	like	would	42	42	40	40	39	39	And -LRB- b -RRB- if instead you select the ' with meta data ' option , a host of embedded additional materials -LRB- not however including the view date timeline preference and altitude of viewpoint data which the editor would like the reader to appreciate -RRB- .
2303308	reviewer	like	would	14	14	12	12	11	11	Although the whole article needs reviewing , the main thing I would like the reviewer to focus on is the `` Musical Style '' section , which is only a few days old .
2316328	way	like	would	12	12	8	8	7	7	And I am busy , so I would like a relatively simple way of learning ion my spare time , not at a school .
2331203	explanation	like	would	17	17	15	15	14	14	And , after reading what sure looks like long saved paperwork , I too would like an explanation of the possible COI of one of the `` pro '' voters .
2335745	cc-by3	like	would	18	18	4	4	3	3	And also I would like to know if both of my Images are suitable to use the ' cc-by3 .
2377461	issue	like	would	6	6	4	4	3	3	AN because I would like this issue to be discussed by a broader range of wikipedians than just Admins and people who have something to report .
2505038	response	like	would	20	20	15	15	14	14	An anon user and myself have been in a somewhat heated debate and I would like an Admin ' s response to put this question to rest .
2521794	photo	like	would	9	9	7	7	6	6	And yes , Elfits , I would like the photo restored .
2522250	ban	like	would	13	13	10	10	9	9	And yes , I am well aware that you would like a topic ban - leaving you and Tom to edit to your own POV and fill the articles with speculation and opinion instead of facts .
2523639	law	like	would	10	10	6	6	4	4	And yes , I would still like Kryder ' s law deleted .
2620218	apology	like	would	6	6	4	4	2	2	And we would all like an apology for your actions in requesting deletion over and over .
2628458	everyone	like	would	3	3	2	2	1	1	And would like everyone to note that I engaged the GA process to draft comments and critiques into an area where this type of edit warring greatly preceded me .
2667544	title	like	would	7	7	5	5	4	4	Anselmi stated that he would like the title of CEO .
2699760	clarification	like	would	7	7	5	5	4	4	Another user and I would like some clarification on the appropriateness of some article additions I am proposing .
2788572	opinion	like	would	13	13	10	10	9	9	An IP has now reverted my edits and I would like a third opinion .
2842125	team	like	would	24	24	29	29	28	28	A new contestant arrives every week and spends half the week with one team and half the week with the other before deciding which team he or she would like to stay with .
2926777	advertising	like	would	11	11	2	2	1	1	AngelaI would like a second opinion on what counts as ' advertising .
3031157	help	like	would	5	5	3	3	1	1	Abeg92I would really like some help on how to help this great encyclopedia .
3052129	opinion	like	would	7	7	5	5	4	4	A7 , that I would like your opinion of .
3072460	photo	like	would	6	6	2	2	1	1	Aimee would like her wiki page photo to be changed .
3107043	admin	like	would	9	9	7	7	6	6	AIV as well , if you would like an admin to review the situation .
3119219	time	liked	would	9	9	7	7	5	5	Ahr later stated that he would have liked more time to finalize his design , wishing to clarify the features of the drummer ' s face .
3184485	option	like	would	17	17	14	14	13	13	I see some technical similarities that I simply can not ignore , but would like a second option .
3184544	clarification	like	would	14	14	10	10	9	9	I see some very good points above , but would like a bit of clarification if possible .
3190854	administrator	like	would	13	13	11	11	10	10	I see this request for a block as harassment and would like the administrator in charge to rule or at least comment on this .
3192646	hour	like	would	15	15	13	13	12	12	I see you are quite active on Wikipedia , our marketing chap would like an hour of your time .
3195010	summary	like	would	7	7	5	5	4	4	I second Adam and would like a summary of your argumetn as I ' m a little unsure what your arguing .
3197037	chance	like	would	13	13	11	11	10	10	I see a lot of people referring to it , would like a chance to read this policy for myself .
3197890	help	like	would	9	9	7	7	6	6	I see a problem here and would like some help .
3200493	icon	like	would	26	26	24	24	23	23	I see I can link to wikipedia freely with o permission needed but I would like to heve inks to several sites and would like an icon for each , hope this is usefull in explaining .
3203189	help	like	would	12	12	10	10	9	9	I seems like a fun project , but I would like some help making it .
3207758	information	like	would	21	21	19	19	18	18	I see no harm is having tons of information of local interest only , because maybe someone local would like that information .
3209831	crat	like	would	19	19	10	10	9	9	I see no problems here either , but one would like the consensus of at least one more ' crat , as we tend to do these days .
3211246	informaiton	like	would	4	4	3	3	2	2	I specifically would like informaiton on Neo-institutionalist , Functionalists , Modernists , Post-Modernists .
3226654	community	like	would	26	26	24	24	23	23	I should point out he has a clear agenda , as evidenced by his other edits on Institute for Historical Review and I would like the community to decide whether or not he ' s really here to work on the encyclopedia , or just prop his fringe views .
3233343	list	like	would	5	5	3	3	2	2	I simply would like a list of colleges with a good philosophy dept .
3233344	reconsideration	like	would	5	5	3	3	2	2	I simply would like a reconsideration of the simple addition I tried to add -LRB- as stated in the email -RRB- .
3233401	input	like	would	11	11	10	10	9	9	I simultaneously opened an RFC on the dynamiting and would like input from folk here into that RFC .
3236899	help	like	would	14	14	13	13	12	12	Is it possible to work with other more experienced people as I would like help to do this .
3238770	guidance	like	would	18	18	16	16	15	15	I sense some Wikipedia decision or policy unknown to me as a new user and would like some guidance .
3240322	article	like	would	24	24	22	22	21	21	I seriously want to have a constructive discussion with you guys but you keep filing every report to smear users who would like the article to stay and making numerous blocking attempts to get this discussion over .
3247255	author	like	would	8	8	6	6	5	5	I shortened the blurb but would like the author and others to improve .
3248111	ability	like	would	10	10	8	8	6	6	I should also add that I would eventually like the ability to make queries to the database remotely as well .
3326082	success	liked	would	14	14	20	20	18	18	After a year in this format and with the station still not garnering the success that Clear Channel would have liked , the format was once again tweaked , this time back toward Mainstream Top 40 in mid-2004 , again with limited success .
3348673	cha-cha-cha	like	would	27	27	23	23	21	21	After a set featuring samples of Dinger ' s music from 1978 onwards , Dinger playfully asked the audience if they would `` like a bit of cha-cha-cha '' , before starting the signature riff of Cha Cha 2000 .
3368517	jack	like	would	13	13	6	6	5	5	After deducing that Shade Man would like noise , Lan and Mega Man jack in to Elec Town ' s loudspeaker and confront Shade Man .
3384128	assurance	like	would	16	16	14	14	13	13	After hearing from Verdi ' s publisher , Giovanni Ricordi , that he would like an assurance that no French copyright might exist -LRB- given that he ' d heard about a French play on the same subject -RRB- , Solera , in his response to the publisher , denied any assertion that Schiller ' s play was the source , and he claimed that the work was `` an entirely original Italian drama -LSB- .
3391453	tray	like	would	36	36	33	33	31	31	After he ordered breakfast in bed , Basil made fun of both Sybil ' s over-specific breakfast options and perhaps the absurdity of the breakfast-in-bed request , asking him what he would `` like his breakfast tray made out of '' .
3409601	nothing	like	would	19	19	18	18	17	17	After enduring no small amount of verbal abuse , Gregory confesses that he loves Lyndall , and would like nothing more than to serve only her , expecting nothing in return .
3426647	body	like	would	66	66	64	64	62	62	After having a one night stand with Seua who is later revealed to be Phisaeng -LRB- Rattapoom Toekongsap -RRB- before the story started , Kemmik had never believed in love since at the time that she had a one night stand with Seua , she is still a fat young lady of whom she thinks that the guy who never liked and would only like her body , so she decided to be pretty and sexy to get back at those kind of guys .
3429993	bit	like	would	20	20	17	17	16	16	After having voluntarily relinquished sysophood , Silsor has time and mental energy to spare again and would like the sysop bit back , but preferred that at least one other person think well enough to nominate rather than self-nominating .
3447655	playdate	like	would	25	25	23	23	22	22	After dropping Sydney off at school , Julia is approached by Sydney ' s classmate Amy -LRB- Jasmine Alveran -RRB- , who would like a playdate with Sydney .
3463201	inside-right	like	would	35	35	31	31	30	30	After Blackpool ' s defeat by Newcastle United in the 1951 FA Cup Final , it is said that Stanley Matthews told his manager , Joe Smith , that he would like the Magpies ' inside-right in the Blackpool team .
3523522	feedback	like	would	31	31	29	29	28	28	After a recent -LRB- long -RRB- FAC for 2008 Japanese Grand Prix I have slightly adjusted my writing style for the `` race '' section , and I would like some feedback on that .
3597783	template	like	would	14	14	12	12	10	10	Adding it to the infobox is good , but I would still like a template to slap onto the articles .
3607189	opinion	like	would	6	6	4	4	3	3	Additionally , I would like an opinion on how much of the Personal Life section needs to be there .
3607193	article	like	would	6	6	4	4	3	3	Additionally , I would like this article to get a larger , more diverse , audience reviewing it .
3645482	name	like	would	5	5	3	3	1	1	Addis would not like his name to redirect to Burning Man .
3657941	character	like	would	22	22	18	18	17	17	Actor Doug Savant expressed frustration with the limitations placed on the role , saying `` While I would like Matt ' s character to have more teeth , he ' s definitely a good , ethical guy .
3710587	help	like	would	21	21	19	19	18	18	About the user list , though - it may still not be accurate or comprehensive , so I would like your help with that if at all possible .
3736420	page	like	would	8	8	5	5	4	4	Above all , we would like the Gracenote page to resemble the All Media Guide page in its neutrality and succinctness .
3737331	mentor	like	would	9	9	7	7	6	6	Above he pretty much says he would like a mentor to teach him how to wikilaywer more effectively , I think that would be a disaster .
3756576	set	like	would	5	5	2	2	1	1	AbsintheI would like a fresh set of eyes to look over the article .
3814978	newsletter	like	would	10	10	8	8	6	6	Add your name here if you would not like the newsletter delivered to your user talk page at all , and also would not like a notification .
3814978	notification	like	would	26	26	24	24	22	22	Add your name here if you would not like the newsletter delivered to your user talk page at all , and also would not like a notification .
3814979	notification	like	would	10	10	8	8	6	6	Add your name here if you would simply like a notification that the newest newsletter has arrived .
3928299	soul	like	would	20	20	16	16	15	15	According to study carried in both Southern Sudan and Uganda , no living Luo person would like his or her soul to go to `` Gang Cen '' after he or she passed away .
4080651	Coccyx_Bloccyx	like	would	3	3	2	2	1	1	Achim would like Coccyx_Bloccyx to either discontinue the tagging and diminishing of the article through content deletions , OR to provide specific information as to what information is still required , taking the questions posed to Coccyx_Bloccyx into account in their entirety , not just sweeping statements that avoid the specifics .
4131408	definition	like	would	34	34	30	30	29	29	Accompanied by journalist Bart Bull , she told Nordhielm she felt boxed in by listener expectations that she was either straight or gay ; she said , `` I would like a much broader definition for myself .
4184274	code	like	would	7	7	4	4	2	2	Abstain I would really like the source code to be release , so we can inspect and discuss the source .
4203816	dollar	like	would	10	10	6	6	5	5	A Connecticut newspaper predicted readers would like the new half dollar five times as much as the new dime .
4310786	number	liked	would	7	7	4	4	2	2	Clearly I would have liked a bigger number .
4312487	discussion	like	would	8	8	6	6	5	5	Clearly someone -LRB- me -RRB- would like the discussion divided into subsections .
4313732	policy	like	would	16	16	15	15	14	14	Clearly there are a substantial number of people , admins and others , who would like policy to be different than it is .
4313830	power	like	would	9	9	7	7	6	6	Clearly there are several admins who would like more power than they are entitled to under policy .
4315785	rationale	like	would	5	5	3	3	2	2	Clearly we would like proper rationale on each page , but even asking the uploader for a rationale would show good faith .
4330619	feedback	like	would	18	18	16	16	14	14	Considering reverting it back to before this editor started in on it , but would would like some feedback before doing so .
4330619	feedback	like	would	18	18	16	16	15	15	Considering reverting it back to before this editor started in on it , but would would like some feedback before doing so .
4330621	input	like	would	11	11	9	9	8	8	Considering revoking AWB access as well , but would like more input on that .
4331272	review	like	would	21	21	19	19	18	18	Considering that Nikkimaria found issues of close paraphrasing and text unsupported by citations on a spotcheck , I would like additional review for same .
4332568	confirmation	like	would	8	8	6	6	5	5	Considering the dispute , I would like a confirmation of that -LRB- or a negation , of course -RRB- .
4360761	confirmation	like	would	7	7	6	6	5	5	CONSENT -RSB- -RSB- Basically Wikipedia would like confirmation from the photographer that they are willing to release the photograph under a free license .
4366976	editor	like	would	6	6	4	4	3	3	Consequently , I would like another editor to review them .
4419948	critisism	like	would	9	9	4	4	3	3	Connecticut Route 190I would like some feedback and constructive critisism to prepare for a potential FAC .
4426794	scandal	like	would	7	7	5	5	3	3	Department of Justice would not like a scandal like this .
4468956	someone	like	would	12	12	11	11	9	9	Despite the ilegitimacy of this evidenceless request , I would still like someone to run the CU check so I can -LRB- hopefully -RRB- avoid having to be engaged in disruption such as this again .
4490397	life	like	would	32	32	30	30	28	28	Despite the fact Elise had no prior experience or knowledge of the fruit raising industry and feared when she arrived in Vacaville that being a city girl she would never like country life , she soon adapted to her new situation .
4497929	help	like	would	7	7	6	6	5	5	Despite this little upset I would like help in getting maps showing the Empire .
4543407	access	like	would	13	13	12	12	11	11	By the way , feel free to email me if you would like access to the sources .
4546401	approach	like	would	28	28	25	25	24	24	By the way , on Vikidia , we do hope to be usefull not only to children but to people of any age that would like a simple approach of a subject , or a shorter one than on Wikipedia .
4559590	assistance	like	would	37	37	32	32	31	31	By the end of the third book Clinias announces that he has in fact been given the responsibility of creating the laws for a new Cretan colony , and that he would like the Stranger ' s assistance .
4566205	end	like	would	8	8	6	6	4	4	By now , I would also like an end to her slander and less-than-true claims .
4566726	copy	like	would	23	23	21	21	19	19	By now , the company that made it -LRB- FunTek -RRB- has gone out of business , and I would still like a copy of the full version .
4615397	article	like	would	6	6	4	4	3	3	California Gold RushI would like this article to undergo peer review .
4645215	noticeboard	like	would	30	30	26	26	25	25	December 2009 -LRB- UTC -RRB- Before we go and do this , however , I think it is only fair to point out that I would like the reliable sources noticeboard to look at all the sources and citations , and not focus their attention only on one or two .
4645422	someone	like	would	19	19	18	18	17	17	December 2009 -LRB- UTC -RRB- I have substantially expanded the article -LRB- see diff -RRB- , but would like someone to read through it and comment on whether it reads OK , how the layout is , and how to improve it !
4646890	stuff	like	would	29	29	26	26	25	25	December 2010 -LRB- UTC -RRB- Still probloms , someone please list me his progressive house songs or provide a link to one asap , i would like some progressive stuff by wolfgang gartner , because i heard he does progressive , but i ' m not sure , and when i type in wolfgang gartner progressive house on youtube , it brings up his electro works but nothing progressive by him .
4646982	nothing	like	would	14	14	13	13	12	12	December 2010 -LRB- UTC -RRB- Tijfo098 , as you can imagine I would like nothing better than have to reply to comments that are posted here .
4680208	page	like	would	9	9	7	7	6	6	December 2005 -LRB- UTC -RRB- I would like this page to remain as it is through this page that I came to know about the website on my family .
4683587	Jetstar888	like	would	8	8	7	7	6	6	December 2007 -LRB- UTC -RRB- I would like Jetstar888 to become an administrator cause there has been lots of vandalism on Penshurst , Victoria by Horry46 .
4715628	review	like	would	20	20	18	18	17	17	Definitely passes notability threshold due to non-trivial coverage in a Reader ' s Digest article , but would like a review to be sure article is NPOV compliant .
4763403	nothing	like	would	14	14	13	13	12	12	Despite her apparent disdain for humanity , she has revealed that she would like nothing more than to be able to fit in with them and be happy .
4815915	type	like	would	13	13	16	16	15	15	Depending on which type of coordinate you are provided with , and which type you would like to work with , you may have to do some conversion .
4877316	someone	like	would	23	23	22	22	21	21	Davis wrote that `` I think Exploring Beedle the Bard should be mentioned under reception on the page , but I would like someone else to make the decision , as I ' m the author of the book .
4906871	advice	like	would	22	22	20	20	19	19	Dear Wikipedian contributors , I am hosting a relatively high-end party in my home in a few weeks and would like some advice on drinks selection .
4987229	input	like	would	22	22	19	19	18	18	David Fuchs and I have been expanding and copy editing it to prepare it for FAC , and would like some outside input to improve the article ' s chances of passing .
4994692	review	like	would	5	5	3	3	2	2	DavidJJJ I would like a review , because I would like to nominate myself for adminship in the near future .
5028842	advice	like	would	6	6	3	3	2	2	David petrouI would like some expert advice on the content of this potential article and what information would need references .
5051345	relationship	like	would	4	4	2	2	1	1	Danny would like their relationship to deepen , but Zoe falls in love with photographer Will North , to whom she becomes engaged .
5052034	Rise	like	would	11	11	9	9	7	7	Dan Phillips of IGN said that people would not like The Rise of the Blue Beetle !
5094855	novel	liked	would	10	10	7	7	4	4	Daniel Stashower suspects Wilde would never have liked such a novel .
5170447	ASVOFF	like	would	4	4	3	3	2	2	Diane Pernet would like ASVOFF to be an extension of other film festivals around the world .
5195735	something	like	would	10	10	9	9	8	8	Dickie Smith asked the two men if they would like something hot .
5206460	image	like	would	2	2	5	5	4	4	Describe what image you would like to see added .
5207248	CTO	like	would	11	11	8	8	7	7	Describing the main issues and problems they would like the next CTO to take into account .
5241723	info	like	would	10	10	7	7	6	6	DAB -RSB- -RSB- , but I would like some more info about the names concerned before I advise further .
5273956	version	like	would	13	13	10	10	9	9	Current username provides direct information regarding Internet access ; would like more discreet version .
5306787	feedback	like	would	15	15	13	13	12	12	Cyber Rights was recently promoted as a Good Article , and I would like some feedback on how to further improve its quality .
5377768	aggression	like	would	26	26	24	24	23	23	Denelson is an active contributor , but apparently not one for conversation ; I ' m uncertain how best to proceed , but would like this aggression towards people who contact him , to stop .
5492171	article	like	would	11	11	9	9	8	8	August 2008 -LRB- UTC -RRB- The Halo WP would like this article to become a FA .
5494806	site	like	would	30	30	8	8	6	6	August 2010 -LRB- UTC -RRB- I would also like to note that the single source does not even appear to be reliable , and more of a ' gossip ' site .
5496189	phone	like	would	10	10	7	7	6	6	August 2011 -LRB- UTC -RRB- I would like my Android phone to sound an alarm exactly once every six hours and fifteen minutes .
5497085	tool	like	would	28	28	25	25	24	24	August 2012 -LRB- UTC -RRB- Editor for 6 years , close to 10 , 000 edits , mainly work in vandalism cleanup however I would like a good tool to use for verification of material added to article , and improving existing articles on Baltimore-related topics .
5516488	assistance	like	would	19	19	14	14	13	13	At the end of the final session , students are asked if they would like any additional information or assistance regarding nicotine cessation .
5546135	guidance	like	would	13	13	11	11	10	10	At this point I consider him a vandal but I would like some guidance as I do not want this to degenerate into mutual accusations of 3RR violations .
5548297	sentence	like	would	40	40	35	35	34	34	At this point , it would probably consume less resources long term for Brion himself to drop whatever he is doing , and code in a User Preference where people can specify how they would like the title and first sentence displayed if they visit that one particular page .
5548402	admin	like	would	7	7	5	5	4	4	At this point I would like an admin to step in and decide one way or another .
5548404	conversation	like	would	7	7	5	5	4	4	At this point I would like the conversation to deal with whether or not the issue can meet Wikipedia guidelines , not all the personal attacks and straw men flying , and deal with substantiated facts and objective constructive criticism rather than all of this constant opinion .
